Gene	W19C	W20C	W21C	W22C	W23C	W24C	W25C	W26C	W28C	W31C	W32C	W34C	W35C	W36C	W37C	W38C	W39C	W40C	W41C	W19F	W20F	W21F	W22F	W23F	W24F	W25F	W26F	W28F	W31F	W32F	W34F	W35F	W36F	W37F	W38F	W39F	W40F	W41F
MA_43131g0010	-0.223150581	-0.223150581	-0.223150581	-0.223150581	-0.223150581	-0.223150581	-0.223150581	-0.223150581	-0.223150581	-0.223150581	-0.223150581	5.22902471	-0.223150581	-0.223150581	-0.223150581	-0.223150581	-0.223150581	-0.223150581	-0.223150581	-0.223150581	-0.223150581	-0.223150581	-0.223150581	-0.223150581	-0.223150581	-0.223150581	2.804396198	-0.223150581	-0.223150581	-0.223150581	-0.223150581	-0.223150581	-0.223150581	-0.223150581	-0.223150581	-0.223150581	-0.223150581	-0.223150581
MA_44746g0010	-0.232560305	-0.232560305	-0.232560305	-0.232560305	-0.232560305	-0.232560305	-0.232560305	-0.232560305	-0.232560305	-0.232560305	-0.232560305	-0.232560305	4.242396681	-0.232560305	-0.232560305	-0.232560305	-0.232560305	-0.232560305	-0.232560305	-0.232560305	-0.232560305	-0.232560305	-0.232560305	-0.232560305	-0.232560305	-0.232560305	-0.232560305	-0.232560305	-0.232560305	-0.232560305	4.129774299	-0.232560305	-0.232560305	-0.232560305	-0.232560305	-0.232560305	-0.232560305	-0.232560305
MA_4590656g0010	-0.319024448	-0.319024448	-0.319024448	-0.319024448	-0.319024448	-0.319024448	-0.319024448	-0.319024448	-0.319024448	1.726495099	-0.319024448	-0.319024448	-0.319024448	-0.319024448	2.410984031	-0.319024448	-0.319024448	-0.319024448	-0.319024448	-0.319024448	-0.319024448	-0.319024448	-0.319024448	-0.319024448	-0.319024448	-0.319024448	-0.319024448	-0.319024448	-0.319024448	2.296785833	-0.319024448	-0.319024448	-0.319024448	-0.319024448	4.412566278	-0.319024448	-0.319024448	-0.319024448
MA_459631g0010	0.64644793	0.82706696	-0.733661345	1.440426963	2.251618846	-0.733661345	-0.733661345	0.64905345	0.524654728	0.990085226	-0.733661345	-0.733661345	-0.733661345	-0.733661345	2.293058263	-0.733661345	-0.733661345	2.134080208	-0.733661345	-0.733661345	-0.733661345	0.570696509	-0.733661345	-0.733661345	0.565886844	-0.733661345	-0.733661345	-0.733661345	-0.733661345	0.765568451	0.705970586	1.205667707	-0.733661345	1.303928269	-0.733661345	-0.733661345	-0.733661345	-0.733661345
MA_481649g0010	-2.368574922	-1.352788152	-0.5863047	-0.146470892	-1.037170925	-0.039771478	-0.331547005	-0.2362204	-0.229031645	0.844633634	-0.188849881	0.699060936	0.345555138	1.078414623	1.634930432	0.366233103	0.463696764	0.332967829	0.315657565	-1.488233653	-1.496402282	-1.704956086	-0.413759324	-0.846681508	0.400544551	-1.574842497	-0.17953877	-0.848006096	-0.183447971	0.288196818	1.353807401	0.637990733	1.20255341	1.961714725	0.740293538	0.902162162	1.034778304	0.649406523
MA_48670g0010	-0.648104607	-0.648104607	0.473440636	0.789572931	-0.648104607	0.428782739	-0.648104607	0.259760314	-0.648104607	0.085145218	-0.648104607	-0.648104607	-0.648104607	0.410482898	-0.648104607	-0.648104607	-0.648104607	-0.648104607	-0.648104607	-0.648104607	-0.648104607	-0.648104607	2.052445121	-0.648104607	1.298190405	1.891376603	0.910689414	3.511103218	-0.648104607	1.726294525	-0.648104607	0.181665662	0.556026593	-0.648104607	-0.648104607	-0.648104607	0.331429696	-0.648104607
MA_55437g0010	0.372434921	0.930923981	0.816997457	1.208523512	0.796130644	0.055984194	0.659841175	1.864491698	-1.207579383	-1.04379562	1.760495581	1.111656971	0.815108152	0.627745627	0.207960704	0.036492232	0.922108155	-0.037102855	-0.285823878	-0.119305152	-1.212953479	-0.470334431	0.615862126	-1.588766252	-1.73786723	-0.028352549	0.828053033	-0.210247408	0.698655065	0.280497012	-0.424041472	-2.005962917	-0.700134664	-2.131060886	-0.787349897	-0.856735372	0.771969245	-0.534518044
MA_60853g0010	-0.171454418	-0.286450399	-0.444242789	-0.485392619	-0.732426945	-1.003931392	-0.685506309	-0.870493413	-1.168099968	-0.913550526	-0.532188226	-0.428599673	0.115081549	0.13646499	0.391312766	1.377929764	1.370281882	1.739986468	2.103741484	-0.608637202	-0.381153036	-0.457824429	-0.631002663	-0.562745143	-0.821664009	-0.761749891	-0.92326122	-1.126127557	-0.903731481	-0.690375527	-0.40994113	0.550562301	0.492093377	0.987134777	1.159423102	1.60643861	1.984446547	1.985652348
MA_61830g0010	-0.232365487	-0.232365487	-0.232365487	-0.232365487	-0.232365487	-0.232365487	-0.232365487	4.367370211	3.997787329	-0.232365487	-0.232365487	-0.232365487	-0.232365487	-0.232365487	-0.232365487	-0.232365487	-0.232365487	-0.232365487	-0.232365487	-0.232365487	-0.232365487	-0.232365487	-0.232365487	-0.232365487	-0.232365487	-0.232365487	-0.232365487	-0.232365487	-0.232365487	-0.232365487	-0.232365487	-0.232365487	-0.232365487	-0.232365487	-0.232365487	-0.232365487	-0.232365487	-0.232365487
MA_689129g0010	2.290267129	1.070167572	0.949799903	0.834980667	1.187305692	-0.389049634	-0.34588689	-0.069526965	-0.42167537	-0.922637385	-0.545211191	-0.300592642	0.15378209	-0.508275989	-1.318189872	1.10420794	1.379166343	0.547419734	1.500360101	-0.397081759	0.644859587	0.088027968	-0.555575999	0.673542355	-0.319206495	-0.891739004	-0.845484947	-1.120687259	-1.300817987	-0.887474026	-1.509729085	-1.504570066	-0.765082494	-0.835282178	-0.036804941	0.069216103	2.006553847	1.290925144
MA_69041g0010	0.487841456	-0.403070188	0.327726531	0.517667186	2.122043168	1.919124306	0.017180677	0.530185825	0.634699003	1.070069691	-0.453463185	-0.455924903	0.073194102	-0.386329642	-1.676652742	-1.21061241	-0.688152591	-1.300198253	-1.076230117	0.460913307	-0.21767253	0.610879902	0.345741246	2.933766556	1.116302881	-0.626864867	-0.464012696	-0.287774148	-0.530894872	-0.371708552	-1.021970514	-0.963476164	-0.54181096	1.377235586	0.152826186	-0.058065143	-0.657739543	-1.304773588
MA_710181g0010	-1.775421105	-1.301607268	-0.954508872	-0.548544418	-0.504743952	-0.305969489	0.526632096	1.191803525	1.886629013	1.123006329	1.88550264	1.289067305	0.559956731	0.184628419	-0.079245956	-0.051909898	-0.596702946	-0.774207407	-0.942852296	-1.191034329	-1.335142954	-1.369853004	-0.538682358	-0.517181382	1.097326088	1.226939143	0.94472534	1.298929016	1.439527032	0.84820312	0.682426441	-0.072763298	-0.411756065	-0.087292826	-0.348710783	-0.614665479	-0.759569463	-1.102936691
MA_72344g0010	0.170378053	0.359339683	1.149523212	1.240863713	1.23761547	2.446945442	1.969333282	1.520142556	1.617403181	0.805010818	0.229494061	0.123327674	-0.05607987	0.31613544	-0.569327663	-0.383501555	-0.82422979	-0.61357628	-1.025529861	-0.820757921	-1.025529861	0.159150202	0.449657049	-0.453433936	-0.522197227	-0.011464276	1.586854126	0.297912077	-0.336390701	-1.025529861	-1.025529861	-1.025529861	-1.025529861	-1.025529861	-1.025529861	-1.025529861	-0.832828213	-1.025529861
MA_775888g0010	-0.717453226	-0.717453226	1.6389735	0.472771558	0.670002351	2.027653059	0.075571235	0.906602309	3.629548309	0.202992753	1.323865115	0.946808767	-0.108010537	0.524665324	-0.717453226	-0.717453226	-0.717453226	-0.717453226	-0.717453226	-0.717453226	-0.717453226	-0.204652235	0.708969325	-0.717453226	-0.717453226	-0.083415729	1.052706946	0.749977188	-0.185964709	-0.717453226	-0.717453226	-0.717453226	-0.717453226	-0.717453226	-0.717453226	-0.717453226	-0.717453226	-0.717453226
